latent_key,group,nearest_template,count,proportion
action_head_input,natural_success,success_template,76,0.76
action_head_input,natural_success,bowl_compositional_template,24,0.24
action_head_input,natural_failure,success_template,32,0.19393939393939394
action_head_input,natural_failure,bowl_compositional_template,133,0.806060606060606
action_head_input,intervention_recovered_success,success_template,41,0.6307692307692307
action_head_input,intervention_recovered_success,bowl_compositional_template,24,0.36923076923076925
chunk_vector_mean,natural_success,success_template,76,0.76
chunk_vector_mean,natural_success,bowl_compositional_template,24,0.24
chunk_vector_mean,natural_failure,success_template,32,0.19393939393939394
chunk_vector_mean,natural_failure,bowl_compositional_template,133,0.806060606060606
chunk_vector_mean,intervention_recovered_success,success_template,41,0.6307692307692307
chunk_vector_mean,intervention_recovered_success,bowl_compositional_template,24,0.36923076923076925
